source_error	https://www.dcceew.gov.au/rss-feed	https://www.dcceew.gov.au/rss-feed	HTTPSConnectionPool(host='www.dcceew.gov.au', port=443): Read timed out. (read timeout=25.0)
source_error	https://www.aemo.com.au/newsroom	https://www.aemo.com.au/newsroom	403 Client Error: Forbidden for url: https://www.aemo.com.au/newsroom
source_error	https://www.aemo.com.au/newsroom/media-release	https://www.aemo.com.au/newsroom/media-release	403 Client Error: Forbidden for url: https://www.aemo.com.au/newsroom/media-release
source_error	https://www.aer.gov.au/news	https://www.aer.gov.au/news	HTTPSConnectionPool(host='www.aer.gov.au', port=443): Read timed out. (read timeout=25.0)
source_error	https://www.infrastructureaustralia.gov.au/news-media	https://www.infrastructureaustralia.gov.au/news-media	HTTPSConnectionPool(host='www.infrastructureaustralia.gov.au', port=443): Read timed out. (read timeout=25.0)
source_error	https://www.iea.org/news	https://www.iea.org/news	403 Client Error: Forbidden for url: https://www.iea.org/news
source_error	https://www.irena.org/news	https://www.irena.org/news	403 Client Error: Forbidden for url: https://www.irena.org/news
source_error	https://www.irena.org/Newsroom/Articles	https://www.irena.org/Newsroom/Articles	403 Client Error: Forbidden for url: https://www.irena.org/Newsroom/Articles
source_error	https://www.dcceew.gov.au/energy/news	https://www.dcceew.gov.au/energy/news	HTTPSConnectionPool(host='www.dcceew.gov.au', port=443): Read timed out. (read timeout=25.0)
low_substance	score=-1 min=2	https://www.aemc.gov.au/news-centre/media-releases
out_of_range	2025-12-18	https://www.energynetworks.com.au/news/energy-insider/what-australias-energy-system-wants-for-christmas/
out_of_range	2025-12-17	https://www.energynetworks.com.au/news/the-age-of-dso/
out_of_range	2025-12-17	https://www.energynetworks.com.au/news/meet-new-ena-chair-andrew-bills/
out_of_range	2025-12-17	https://www.energynetworks.com.au/news/energy-insider/why-you-cant-miss-dan-gardner-at-en26/
out_of_range	2025-12-16	https://www.energynetworks.com.au/news/media-releases/joint-statement-on-the-national-electricity-market-review/
out_of_range	2025-12-15	https://www.energynetworks.com.au/news/media-releases/energy-networks-australia-responds-to-aemc-pricing-review-released-today/
out_of_range	2025-12-09	https://www.energynetworks.com.au/news/draft-isp-aims-to-right-size-transmission-and-reinforces-networks-as-the-backbone-of-the-energy-transition/
out_of_range	2025-11-20	https://www.aemc.gov.au/sites/default/files/2025-11/2024-25%20AEMC%20Annual%20Report%20final_0.pdf
out_of_range	2025-09-20	https://www.aemc.gov.au/sites/default/files/2025-09/2025.09.17%20-%20AEMC%20submission%20to%20the%20NEM%20review%20draft%20report_final.pdf
out_of_range	2025-09-01	https://www.aemc.gov.au/sites/default/files/2025-09/AEMC%20submission%20to%20PC%20interim%20report%20-%2015%20Sept%202025.pdf
out_of_range	2025-08-20	https://www.aemc.gov.au/sites/default/files/2025-08/20250725%20AEMC%20-%20Submission%20in%20response%20to%20the%20NSW%20Transmission%20Planning%20Review%20Interim%20Report.pdf
out_of_range	2025-08-14	https://www.aemc.gov.au/news-centre/perspectives
out_of_range	2025-08-01	https://www.aemc.gov.au/sites/default/files/2025-08/AEMC%20submission%20to%20the%20CCA%202025%20Issues%20Paper.pdf
out_of_range	2024-12-01	https://www.aemc.gov.au/sites/default/files/2024-12/AEMC_annual_report_2023-24.pdf
out_of_range	2023-12-01	https://www.aemc.gov.au/sites/default/files/2023-12/AEMC_annual_report_2022-23_web_v2.pdf
out_of_range	2023-08-01	https://www.aemc.gov.au/sites/default/files/2023-08/emo0040_-aemc_metering_services_infographic.pdf
out_of_range	2023-05-01	https://www.aemc.gov.au/sites/default/files/2023-05/EPR0087%20-%20final%20-%20infographic.pdf
out_of_range	2022-12-01	https://www.aemc.gov.au/sites/default/files/2022-12/AEMC%20Annual%20Report%202021%20-%202022.pdf
out_of_range	2022-10-01	https://www.aemc.gov.au/sites/default/files/2022-10/EPR0087-%20Final%20report%20-%20stage%202%20-%20infographic.pdf
out_of_range		https://www.aemc.gov.au/news-centre#page-content
out_of_range		https://www.aemc.gov.au/news-centre
out_of_range		https://www.aemc.gov.au/
out_of_range		https://www.aemc.gov.au/about-us
out_of_range		https://www.aemc.gov.au/energy-system
out_of_range		https://www.aemc.gov.au/regulation
out_of_range		https://www.aemc.gov.au/our-work
out_of_range		https://www.aemc.gov.au/contact-us
out_of_range		https://www.aemc.gov.au/metering
out_of_range		https://www.aemc.gov.au/calendar
out_of_range		https://www.aemc.gov.au/careers
out_of_range		https://www.aemc.gov.au/search
out_of_range		https://www.aemc.gov.au/about-us/chair-and-commissioners
out_of_range		https://www.aemc.gov.au/about-us/executive-leadership-team
out_of_range		https://www.aemc.gov.au/about-us/our-governance
out_of_range		https://www.aemc.gov.au/about-us/reliability-panel
out_of_range		https://www.aemc.gov.au/about-us/stakeholder-engagement
out_of_range		https://www.aemc.gov.au/about-us/mission-and-values
out_of_range		https://www.aemc.gov.au/about-us/history
out_of_range		https://www.aemc.gov.au/energy-system/electricity
out_of_range		https://www.aemc.gov.au/energy-system/energy-system
out_of_range		https://www.aemc.gov.au/energy-system/retail
out_of_range		https://www.aemc.gov.au/energy-system/energy-system-0
out_of_range		https://www.aemc.gov.au/regulation/national-governance
out_of_range		https://www.aemc.gov.au/regulation/neo
out_of_range		https://www.aemc.gov.au/regulation/legislation
out_of_range		https://www.aemc.gov.au/regulation/energy-rules
out_of_range		https://www.aemc.gov.au/regulation/energy-rules/national-electricity-rules/current
out_of_range		https://www.aemc.gov.au/regulation/energy-rules/national-gas-rules/current
out_of_range		https://www.aemc.gov.au/regulation/energy-rules/national-energy-retail-rules/current
out_of_range		https://www.aemc.gov.au/regulation/electricity-guidelines-and-standards
out_of_range		https://www.aemc.gov.au/our-work/our-priorities
out_of_range		https://www.aemc.gov.au/our-work/changing-energy-rules/rule-changes
out_of_range		https://www.aemc.gov.au/our-work/market-reviews-and-advice
out_of_range		https://www.aemc.gov.au/our-work/developing-electricity-guidelines-and-standards
out_of_range		https://www.aemc.gov.au/our-work/changing-energy-rules
out_of_range		https://www.aemc.gov.au/our-work/research
out_of_range		https://www.aemc.gov.au/our-work/compensation
out_of_range		https://www.aemc.gov.au/news-centre/speeches
out_of_range		https://www.aemc.gov.au/news-centre/infographics
out_of_range		https://www.aemc.gov.au/news-centre/corporate-publications
out_of_range		https://www.aemc.gov.au/news-centre/submissions-to-inquiries
out_of_range		https://www.aemc.gov.au/news-centre/annual-reports
out_of_range		https://www.aemc.gov.au/news-centre/data-portal
out_of_range		https://www.aemc.gov.au/news-centre/videos
out_of_range		https://www.aemc.gov.au/contact-us/subscribe
out_of_range		https://www.aemc.gov.au/contact-us/lodge-submission
out_of_range		https://www.aemc.gov.au/contact-us/propose-rule-change
out_of_range		https://www.aemc.gov.au/news-centre/media-releases/faster-renewable-buildout-and-electrification-key-affordable-energy-transition
out_of_range		https://www.aemc.gov.au/news-centre/media-releases/aemc-makes-final-rule-help-vulnerable-consumers-get-energy-bill-help-they-deserve
out_of_range		https://www.aemc.gov.au/news-centre/speeches/coordinating-transition-lower-household-energy-costs-navigating-known-unknowns
out_of_range		https://www.aemc.gov.au/news-centre/media-releases/aemc-delivers-enhanced-consumer-protections-help-customers-find-better-energy-deals
out_of_range		https://www.aemc.gov.au/news-centre/media-releases/aemc-finalises-landmark-reform-accelerate-smart-meter-rollout
